File:,D:\04.Project\13.고성능차량하중이동제어\04.Logic\JSNDCT_CorneringLogicAdded\TuningTool\JSNDCT_Cornering.spm
Project:,
System:,
User:,
Vehicle:,
Vehicle Type:,
Date Time:,
Comment:,

Recording Time:,2020-08-26 수 AM 11:09:39 ~ 2020-08-26 수 AM 11:11:43
Save Time:,0.000 ~ 123.550 sec

,[FLAG],[VALUE],1.leu8VehicleSpd,2.lou8FlagRoll,3.ldu8FlagDive,4.lsu8FlagAdSquat,5.lsu8FlagDecAdSquat,6.lsu8FlagNoseDwAdSquat,7.lnu8FlagTurn,8.lcu8FlagCornering,9.lcs8DfCornering[0],10.lis8DfOffset[0],11.lcs8DfCornering[1],12.lcs8DfCornering[2],13.lcs8DfCornering[3],14.lis8DfOffset[1],15.lis8DfOffset[2],16.lis8DfOffset[3]
Time,[BIT],[CH],4000331D,40003135,40002922,4000324E,40003254,4000323D,40003404,40003562,4000355C,40002A90,4000355D,4000355E,4000355F,40002A91,40002A92,40002A93
0.700,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.730,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.750,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.780,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.840,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.870,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.890,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.920,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.940,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.960,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.970,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.980,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.010,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.020,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.030,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.040,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.050,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.060,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.070,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.080,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.090,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.100,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.110,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.120,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.130,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.140,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.150,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.160,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.170,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.180,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.190,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.200,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.210,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.220,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.230,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.240,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.250,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.260,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.270,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.280,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.290,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.300,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.310,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.320,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.330,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.340,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.350,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.360,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.370,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.380,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.390,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.400,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.410,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.420,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.430,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.440,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.450,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.460,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.470,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.480,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.490,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.500,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.510,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.520,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.530,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.540,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.550,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.560,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.570,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.580,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.590,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.600,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.610,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.620,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.630,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.640,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.650,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.660,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.670,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.680,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.690,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.700,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.710,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.720,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.730,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.740,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.750,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.760,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.770,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.780,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.790,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.800,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.810,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.820,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.830,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.840,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.850,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.860,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.870,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.880,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.890,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.900,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.910,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.920,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.930,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.940,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.950,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.960,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.970,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.980,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.990,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.010,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.020,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.030,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.040,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.050,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.060,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.070,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.080,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.090,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.100,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.110,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.120,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.130,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.140,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.150,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.160,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.170,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.180,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.190,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.200,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.210,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.220,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.230,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.240,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.250,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.260,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.270,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.280,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.290,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.300,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.310,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.320,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.330,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.340,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.350,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.360,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.370,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.380,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.390,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.400,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.410,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.420,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.430,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.440,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.450,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.460,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.470,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.480,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.490,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.500,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.510,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.520,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.530,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.540,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.550,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.560,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.570,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.580,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.590,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.600,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.610,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.620,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.630,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.640,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.650,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.660,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.670,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.680,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.690,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.700,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.710,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.720,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.730,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.740,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.750,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.760,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.780,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.790,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.800,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.810,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.820,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.840,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.850,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.860,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.870,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.880,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.890,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.900,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.910,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.920,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.930,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.940,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.950,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.960,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.970,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.980,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.990,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.010,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.020,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.030,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.040,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.050,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.060,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.070,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.080,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.090,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.100,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.110,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.120,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.130,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.140,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.150,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.160,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.170,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.180,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.190,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.200,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.210,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.220,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.230,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.240,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.250,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.260,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.270,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.280,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.290,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.300,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.310,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.320,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.330,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.340,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.350,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.360,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.370,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.380,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.390,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.400,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
