File:,D:\04.Project\13.고성능차량하중이동제어\04.Logic\JSNDCT_CorneringLogicAdded\TuningTool\JSNDCT_Cornering.spm
Project:,
System:,
User:,
Vehicle:,
Vehicle Type:,
Date Time:,
Comment:,

Recording Time:,2020-08-26 수 AM 11:36:35 ~ 2020-08-26 수 AM 11:38:16
Save Time:,0.000 ~ 100.460 sec

,[FLAG],[VALUE],1.leu8VehicleSpd,2.lou8FlagRoll,3.ldu8FlagDive,4.lsu8FlagAdSquat,5.lsu8FlagDecAdSquat,6.lsu8FlagNoseDwAdSquat,7.lnu8FlagTurn,8.lcu8FlagCornering,9.lcs8DfCornering[0],10.lis8DfOffset[0],11.lcs8DfCornering[1],12.lcs8DfCornering[2],13.lcs8DfCornering[3],14.lis8DfOffset[1],15.lis8DfOffset[2],16.lis8DfOffset[3]
Time,[BIT],[CH],4000331D,40003135,40002922,4000324E,40003254,4000323D,40003404,40003562,4000355C,40002A90,4000355D,4000355E,4000355F,40002A91,40002A92,40002A93
0.000,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
